english ä u i a e í o
h ሀ ሁ ሂ ሃ ሄ ህ ሆ
l ለ ሉ ሊ ላ ሌ ል ሎ
h ሐ ሑ ሒ ሓ ሔ ሕ ሖ
m መ ሙ ሚ ማ ሜ ም ሞ
s ሠ ሡ ሢ ሣ ሤ ሥ ሦ
r ረ ሩ ሪ ራ ሬ ር ሮ
s ሰ ሱ ሲ ሳ ሴ ስ ሶ
sh ሸ ሹ ሺ ሻ ሼ ሽ ሾ
q ቀ ቁ ቂ ቃ ቄ ቅ ቆ
qh ቐ ቑ ቒ ቓ ቔ ቕ ቖ
b በ ቡ ቢ ባ ቤ ብ ቦ
v ቨ ቩ ቪ ቫ ቬ ቭ ቮ
t ተ ቱ ቲ ታ ቴ ት ቶ
ch ቸ ቹ ቺ ቻ ቼ ች ቾ
x ኀ ኁ ኂ ኃ ኄ ኅ ኆ
n ነ ኑ ኒ ና ኔ ን ኖ
gy ኘ ኙ ኚ ኛ ኜ ኝ ኞ
a አ ኡ ኢ ኣ ኤ እ ኦ
k ከ ኩ ኪ ካ ኬ ክ ኮ 
kx ኸ ኹ ኺ ኻ ኼ ኽ ኾ 
w ወ ዉ ዊ ዋ ዌ ው ዎ 
a ዐ ዑ ዒ ዓ ዔ ዕ ዖ
z ዘ ዙ ዚ ዛ ዜ ዝ ዞ
zh ዠ ዡ ዢ ዣ ዤ ዥ ዦ
y የ ዩ ዪ ያ ዬ ይ ዮ
d ደ ዱ ዲ ዳ ዴ ድ ዶ
dd ዸ ዹ ዺ ዻ ዼ ዽ ዾ 
j ጀ ጁ ጂ ጃ ጄ ጅ ጆ 
g ገ ጉ ጊ ጋ ጌ ግ ጎ 
gg ጘ ጙ ጚ ጛ ጜ ጝ ጞ 
th ጠ ጡ ጢ ጣ ጤ ጥ ጦ 
ch ጨ ጩ ጪ ጫ ጬ ጭ ጮ 
ph ጰ ጱ ጲ ጳ ጴ ጵ ጶ 
ts ጸ ጹ ጺ ጻ ጼ ጽ ጾ
tz ፀ ፁ ፂ ፃ ፄ ፅ ፆ
f ፈ ፉ ፊ ፋ ፌ ፍ ፎ
p ፐ ፑ ፒ ፓ ፔ ፕ ፖ
